Карпов Игнатий Филиппович;Печора;пер. Энергетиков, д. 9 к. 751;ТД Ункомтех;Тележурналист;8 (412) 290-67-63;lukinamarfa@rambler.ru;1992-08-20;72919
Тарасов Мефодий Алексеевич;Соликамск;алл. Выгонная, д. 744;Россельхозбанк;Сурдопедагог;81925726242;marija95@rambler.ru;2003-01-18;49274
Таисия Руслановна Трофимова;Усть-Илимск;наб. Калинина, д. 254 стр. 6/2;Сахалин Энерджи;Борт-механик;+7 (959) 986-7646;nikonovavksenti@rambler.ru;1976-09-20;115045
Артемьев Тихон Арсеньевич;Нарьян-Мар;ул. Поселковая, д. 2;Норникель;Борт-стрелок;8 975 088 9743;nikiforovasofija@yahoo.com;1994-12-31;30015
Евдокия Ждановна Фадеева;Заводоуковск;ул. Путейская, д. 2/2;Российская электроника;Сборщик;8 249 585 04 14;alekseevkonstantin@mail.ru;1981-11-13;152892
Маркова Жанна Тимуровна;Зеленоград;пер. Заозерный, д. 4/3 стр. 1/1;Объединенная энергетическая компания;Страховой агент;+7 (500) 131-1348;tarasovsofron@mail.ru;1951-08-15;45391
Петр Феофанович Евдокимов;Кызыл;бул. Раздольный, д. 64 стр. 78;Банк Ак Барс;Механик-Водитель;8 (030) 962-70-92;grigoripetrov@gmail.com;1981-08-06;130366
Субботина Нонна Максимовна;Шенкурск;наб. Больничная, д. 3 к. 41;Нова;Техник;+7 501 449 72 10;leonti1999@mail.ru;1977-05-03;149588
Гаврила Чеславович Пахомов;Красноуральск;ш. Азовское, д. 7/1 стр. 7;Приосколье;Старшина;+71754973023;mihail_2002@rambler.ru;1979-11-11;98248
Нонна Георгиевна Хохлова;Нягань;ул. Приморская, д. 884 стр. 9;Акционерный банк Россия;Поэт;8 (951) 108-2894;mark_1971@yahoo.com;1997-08-13;73678
Виноградов Агафон Терентьевич;Дмитров;алл. Космическая, д. 99 к. 28;Хендэ Мотор СНГ (Hyundai);Инженер-лесотехник;+7 389 445 96 91;galaktionegorov@yahoo.com;1979-01-08;76290
Ксения Геннадиевна Калашникова;Выборг;пер. Баумана, д. 44 стр. 4/2;НИПИ НГ Петон;Водитель;8 (902) 390-3944;seliverststrelkov@mail.ru;1981-08-24;71676
Давыдов Святополк Арсеньевич;Неплюевка;ул. Черемуховая, д. 57 к. 99;ABI Product;Диетолог;+7 825 992 8826;rjabovmihail@hotmail.com;1962-07-14;119175
Воронцова Алла Альбертовна;Ербогачен;пр. Калужский, д. 3/8 к. 4/1;Силовые машины;Жиловщик/Обвальщик;+7 830 796 8739;avtonom1998@rambler.ru;1966-10-24;131089
